,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
187,ataregina,ela/dela,Salvador,364,109,5106,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
188,Seu7facadas,,,921,120,38048,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
189,stellardust_,Safada e sensata,Teresina - PI,137,909,773,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
190,Juju25395959,Seja positivo!,,32,0,55,387,Gente! Cheguei para contar que a @timbrasil me convidou para algo muito importante: dar voz à questões sobre as identidades femininas na mídia e na sociedade atualmente.  #ImagineAsPossibilidades #ad https://t.co/wI6xEJ2hCx,[]
191,EvanieleSilva4,"@wesleysafadao 
@cariocasdosafadao",,39,9,2354,2,"@WesleySafadao
Tudo pronto por aí para a nossa live #TbtWScomSkol no próximo sábado? 😃

#WesleySafadão #BebaComModeração #Publi #FalaMalDeMim #EleéEleEuSouEu #VaiSafadão #SegueoLider https://t.co/ODuLRCTQSN","['TbtWScomSkol', 'WesleySafadão']"
192,foodofliam,✿ 𝖋𝖆𝖓 𝖆𝖈𝖈𝖔𝖚𝖓𝖙 ✿ linda ✿ bela ✿ brasileira ✿ lula livre ✿ jesus te ama eu tbm porém depende ✿,eating in my kitchen,1958,1544,17826,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
193,ellituita,o amor é só um grito no vazio         (gos/to/sa) #Daenerys,🥂 🌵,1665,2983,24157,0,"Viih tube melhor jogadora interna, uma maturidade invejável e vai conquistar muitos corações aqui  fora. #publi",['publi']
194,Nxvars,"| 3k700 on Youtube | @FNCompetitive | https://t.co/9psjPR1bV6 | CODE : KAZAMA #AD | Best KBM 🇧🇷

EMAIL PARA CONTATO PROFISSIONAL : isoladosbr@gmail.com",Season 6,2067,4164,20340,1,"Pra quem quer remover o inputlag do controle, segue o link do vídeo do barbudo play onde ele mostra como faz.

Me Apoia na loja em, fiz a boa 

Code KAZAMA #ad 

Link : https://t.co/4GMQH5Y2vH",['ad']
195,luzdelfuegom,trancista e viajante (do mundo da lua),na puta que pariu,313,182,10235,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
196,eucallisson,"seja o mais interessante, não o mais curtido!",Brasil ,260,13,536,7,"O #publi da @itaipava em Amor de Mãe sendo a primeira cerveja a ser pedida pelo nome numa novela.
#itaipavananoveladas9 https://t.co/kyNViCVTIY","['publi', 'itaipavananoveladas9']"
197,venonatt,amor so de mae paixao so de cristo,,390,460,51151,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
198,sillascou,pra gringo é mais caro,aqui o sol é mais forte,1894,879,32073,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
199,oiaure,Link pra garantir seu livro na pré-venda com poster grátis aqui embaixo!!!,Natal,2555,16370,69240,28,"Luiz quer sair da cidade de Mossoró. Salete quer treinar seus poderes de bruxa. Quando o fantasma de um cangaceiro deixa misteriosos presentes, o rumo de suas vidas é alterado.

""A botija do fantasma"", de @pblpraxedes, está disponível: https://t.co/k01EAk0gBD #publi https://t.co/mkYqmZ6g1Q",[]
200,maurilioeu,l 🪴,"Rio de Janeiro, Brasil",83,35,464,344,"Geeeeeente a @TimBrasil me convidou para dar voz a um manifesto. Vamos falar sobre identidades femininas da atualidade. E não tem melhor momento para falar sobre quão somos orgulhosas de sermos nós mesmas. Vem comigo! 💙
#ImagineAspossibilidades #publi https://t.co/vc5u6yoNGB",[]
201,CrypticCaelum,⋆｡☁︎ ﾟ☾ ｡⋆ 𓅰,,1601,635,5680,585,"[EXCLUSIVO] Confira em primeira mão as imagens do box ""O castelo animado""

Com lançamento previsto para maio, a coleção reúne o universo mágico de Diana Wynne Jones que inspirou a animação do Studio Ghibli. As artes são de @imzeferino. Reserve: https://t.co/JBVvQXegBz #publi https://t.co/XDcHlfpLMh",[]
202,AmadoHeloisa,eu sou um katsudon gostosão  (ela/dela),"Rio de Janeiro, Brasil",539,264,10472,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
203,sereiadeboteco,to chupando minha laranja @BOYV1P 💍,,1039,368,4930,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
204,AmandaBoell,"É como diz aquela música né, você só vai ter dois trabalhos: Ficar puto e desficar",Não te interessa vacilão/lona,485,113,10923,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
205,Pedrindobaixo,"Casual player, gosto muito de rock. Veterano no Fort .17y .E amo fazer prints do Fortnite. e faço cosplays ||Namorada: @HyperStelsis❤️ ||",,122,341,11693,10,"Galera me apoiem na loja ou em qualquer lugar na Epic Games, isso me ajuda muito, eu agradeço a todos que me apoiarem! Code: Xiuwiu #ad 
😊💛❤️",[]
206,HyperStelsis,"Líder da Esp. X | Veterana no Fortnite, Xbox e PS | Desenhista | Cosplayer | Ademira Suprema | Namorado: @PedrindoBaixo ❤💛 | Code: Xiuwiu #ad |",,168,622,33796,10,"Galera me apoiem na loja ou em qualquer lugar na Epic Games, isso me ajuda muito, eu agradeço a todos que me apoiarem! Code: Xiuwiu #ad 
😊💛❤️",['ad']
207,lalamedsfc,"ér...            


                                                                              

(ela/dela)",Natal/RN,643,478,52619,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
208,MaluBarbalho,Reclamar de absolutamente tudo e dar RT em besteira,Natal/RN,580,580,68453,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
209,amulherderoxo,é preciso estar atento e forte,fortal,1574,2056,62859,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
210,massissj,"Twitch: https://t.co/slDXr01JTe, Instagram: https://t.co/YCqGwA6ric Youtube: https://t.co/4embzfhnSR",,447,418,4076,0,@Calamardol2 FACUNDO #ad,['ad']
211,ReginaCase,Perfil oficial da apresentadora de TV e atriz brasileira.,Rio de Janeiro,610,1365956,14648,0,"Ah como eu adoro essa música! Acredito muito nisso! Tento SEMPRE harmonizar em mim a minha dose masculina e feminina!

#publi
#KeepWalking #HarmonizeSuaDose
@johnniewalkerbr
Beba com responsabilidade e não compartilhe com menores de 18 anos. https://t.co/ohMc8IkPZG","['publi', 'KeepWalking', 'HarmonizeSuaDose']"
212,thomasnewt42,Ele/Dele || Em busca das playlists perfeitas || Guitarrista e Poeta da Gadice || 2.0 ♋️ || Intensidade is my passion || ccat: https://t.co/611wOzP6T1,Brasil,641,554,62156,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
213,terceirotempo,"Twitter oficial do site Terceiro Tempo, marca maior do pós-jogo da televisão, rádio e internet brasileira! No BOL e UOL https://t.co/TnN6O6S8GM",Brasil,1510,111532,139560,1,Chegou o cartão Higa Atacado com muitas facilidades e vantagens para você! Peça agora mesmo o seu: https://t.co/gFAcdxz3IJ #HigaAtacado #publi https://t.co/2G3JDvoYc0,[]
214,ocoelhovoador,"Pernambucano, homem trans
Ele/dele","Recife, Brasil",199,152,11076,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
215,subjetivigabs,Apenas uma pequena army que acredita ser Roberta e Cristina Yang mas na verdade é a Rae Earl.,,1244,1425,62146,4,"Gente, agora as 20h a @carolmoreira3 e a @mabebonafe (eu rs) estaremos na Orelo Talks como convidadas no lançamento de um novo podcast de suspense e ficção. 

Tá com sdds ? Vai lá ouvir a gente! É só entrar no app Orelo que as 20h aparece o chat lá e conseguem ouvir :) 

#publi",[]
216,soIisz,oi,,265,1441,2440,0,"meu code nn foi cancelado :) (eu nem tava divulgacao dele) quem quiser me apoiar ai, eu fico muito feliz

USE CODE SOLIS #ad",['ad']
217,santandromeda,Graduada em Letras - UERJ,,957,212,26363,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
218,nanaho_luvv,"Pan × ela/dela - ele/dele × filha de Apolo sem talento pra música, arte ou arco e flecha 🥳","CHB, cabin 7 ☀️",1139,936,6488,5,"Outra coisa que acaba pesando no nosso orçamento são os armários, tanto de cozinha quanto para guardar roupas. 

E aí vem a Dica 3: quando você estiver procurando sua casa para alugar no @quintoandar, você pode usar os filtros de busca e procurar uma casa já mobiliada! #publi",[]
219,unstopPABL0,"💡 Lâmpada sempre acesa!

Consumo arte como oxigênio, humorista de quinta e careca sempre!

''Eu prefiro morrer de pé do que viver de joelhos.'' Emiliano Zapata","RS, Brasil",246,272,15202,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
220,CamilaPiccoli8,"apenas uma adolescente querendo seguir a carreira de bióloga 
18 y 🏳️‍🌈",,277,128,2814,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
221,XFotasma,Uma formiguinha querendo ficar marombera comendo muita gordice,,139,17,561,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
222,lpedrocaa,T.i 👨🏿‍🎓💻 • 👫🏽💍 • ele/dele • CEO • Empreendedor • 🏹🌿,vó • pai • jv 👼,1394,2745,95054,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
223,patchdanora,cabin crew up,"Rio de Janeiro, Brazil",211,314,36401,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
224,webflavia,"Sou CEO da WEBFLAVIA Digital e Publicidade. Speaker TEDx. Palestrante. Artista Plástica. Uma mulher livre, forte, independente, irreverente e segura de si.",Mato Grosso,594,1035,4576,0,Você #clienteWF já deixou sua marca em nossa parede de bons pensamentos? #webflavia #25anosWF #agenciadigital #publicidade #podcast #video #live #digitaltransformation https://t.co/AK6NH9SVB8,"['clienteWF', 'webflavia', '25anosWF', 'agenciadigital', 'publicidade', 'podcast', 'video', 'live', 'digitaltransformation']"
225,Miltonneves,"Jornalista e apresentador do Grupo Bandeirantes, blogueiro do UOL e publisher do Portal Terceiro Tempo",,8969,2145256,346124,1,Chegou o cartão Higa Atacado com muitas facilidades e vantagens para você! Peça agora mesmo o seu: https://t.co/gFAcdxz3IJ #HigaAtacado #publi https://t.co/2G3JDvoYc0,"['HigaAtacado', 'publi']"
226,vtavaresl,"O distúrbio que me ronda, se remete a quem sou","Rj, Brasil",1001,483,74181,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
227,Amulherdiabo_,Dispenso a previsão,Ⓟ - ⚡️-,519,24,258,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
228,jheynno,,,117,3,752,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
229,JairoAngelo1910,"Eu falo umas merda ai ...
⚫⚪",,2378,175,10116,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
230,Vanessa49513112,,,428,381,1621,9,"✅ Bora comentar a #publi de emoji do Biel 😂🤣. 
Partiu 10K de comentários??

https://t.co/vKVZhJFJ8U https://t.co/iq0EvoPpYA",['publi']
231,karolxramos,,sp,2300,2009,57956,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
232,eita_louie,"vegetariano/ 
só mais um garoto trans sem saber o que fazer da vida
(ele/dele)",,483,124,1514,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
233,Luischocolatier,"Musician, Design Engineering student and graphic artist! He-Him. Read my webcomic!

Músico, Diseñador industrial y artista gráfico. ¿Has leído mi cómic?",Zuckeria,724,295,12588,585,"[EXCLUSIVO] Confira em primeira mão as imagens do box ""O castelo animado""

Com lançamento previsto para maio, a coleção reúne o universo mágico de Diana Wynne Jones que inspirou a animação do Studio Ghibli. As artes são de @imzeferino. Reserve: https://t.co/JBVvQXegBz #publi https://t.co/XDcHlfpLMh",[]
234,bixndw,,,104,23,493,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
235,TariqYuri,eu²|agênero| tentando ser escritor e streamer|qualquer pronome,,272,117,8120,3,"É ISSO CHAT! ESTAMOS ONLINE em:

➤ https://t.co/kF1U26xoSX
➤ https://t.co/zyCoEBh1Du 

Para falar sobre um RPG IRADO que está em financiamento coletivo pela @EditoraNewOrder! #Pugmire! 

Logo depois teremos construção do mundo, vamo que vamo!

#ad",[]
236,IlseWitchWest,"sou formada em falar asneira e adoro compartilhar meme ruim pra irritar as pessoas 
| OP🏴‍☠️ | snk☢ | kny 🇯| GG🎒 | KHR🇮🇹 | livros 📚| Novelas","Curitiba, Brasil",1974,244,7191,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
237,manuhpoli,"Streamer que sonha ser Comunicadora 👁️👄👁️
Feminista ♀️
Noiva 👰
Cantora 🎙️",Brasil,170,137,2543,8,APAIXONADA NA MINHA RTX 3080 DA ZOTAC! Os games tão como??? NO FULL! Inclusive o Minezinho RTX com a tecnologia DLSS a gente ganha uma performance absurda! Obg zooootac ❤❤ @NVIDIAGeForceBR @zotacbrasil #RTXON #ad https://t.co/cEa1UchxWq https://t.co/JwbfHIYQea,[]
238,temonteiro,"Desenvolvedora em home office fazendo uma tripla jornada, pois é mãe do Dante e dona de casa também.  VAI PASSAR!","Eusébio, Brasil",1214,627,14364,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
239,_theucool,Não tenho bandido de estimação.,,87,11,2849,0,"@folha Folha, Folha... Faltou colocar as hashtags #ad #publieditorial","['ad', 'publieditorial']"
240,mefitanavitoria,"se encontra,
se perde,
se vê,
mas volta pra se dividir, amor",lagum • anavitória,1376,4285,63007,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
241,RafaUrge,Desde 94 vivendo à base de gambiarras. https://t.co/CSVzRXbBzu - https://t.co/4M29lI3bHy,"Curitiba, PR",280,334,37550,1,"Digitalmente influenciado pela @Koepsel 
@VejaLimpeza, contratem ela pra #publi https://t.co/NHlHZUwWot",['publi']
242,JottTwentySeven,"Humildade sempre Reina. @Corinthians @ACMilan
 
Hip Hop ❤",Guarulhos/Itaquera,1084,1032,24370,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
243,izabellyjavarys,@vascodagama,"Rio de Janeiro, Brasil",348,704,32586,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
244,arcxindie,"⠀⠀⠀⠀⠀⠀ꀬ    𝗅.    ،  ᵛˢᶜᵒ   ·    🏯    ·    𝗮.   𓂃   ♥︎

        ㅤ                                    ㅤ                 #   qualquer pronome.",ENFJ – 3w2; 📃: 12/?.,1116,1342,24929,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
245,Wellington_S_Br,"Sempre que houver um conflito entre direitos humanos e direitos de propriedade, os direitos humanos devem prevalecer.

Abraham Lincoln","São Paulo, Brasil",424,83,14133,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
246,mlnfrts_,"tenho cabelo colorido de novo, faço crochê, assisto drama coreano mas reclamo de relacionamentos bregas e falo só de bbb estudo RI e fico louca com isso surto",crbá/ddos,381,994,57900,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
247,Wellington_S_Br,"Sempre que houver um conflito entre direitos humanos e direitos de propriedade, os direitos humanos devem prevalecer.

Abraham Lincoln","São Paulo, Brasil",424,83,14133,5,"Outra coisa que acaba pesando no nosso orçamento são os armários, tanto de cozinha quanto para guardar roupas. 

E aí vem a Dica 3: quando você estiver procurando sua casa para alugar no @quintoandar, você pode usar os filtros de busca e procurar uma casa já mobiliada! #publi",[]
248,fmoraes__,,Rio de Janeiro,153,233,21782,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
249,srtaletys,site para reclamar da vida,"Rio de Janeiro, Brasil",304,277,3621,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
250,carolmoreira3,"Apresentadora, Youtuber e Podcaster 
Crimes reais no @moduspod 
Papos em OFF no @offcarolmoreira
contatocarolmoreira@gmail.com","São Paulo, Brasil",539,411739,2699,4,"Gente, agora as 20h a @carolmoreira3 e a @mabebonafe (eu rs) estaremos na Orelo Talks como convidadas no lançamento de um novo podcast de suspense e ficção. 

Tá com sdds ? Vai lá ouvir a gente! É só entrar no app Orelo que as 20h aparece o chat lá e conseguem ouvir :) 

#publi",[]
251,bomdiapravcqleu,"braba pa krl, helicoptesexual🚁 @mekgg_ dahora👍",,95,38,1015,0,"@myrianzinhaa Skin desbloqueada:
Mek bolado e ciumento

*Adquira agora na loja de itens, com o code neymar junior! #Ad",['Ad']
252,isfuckjesse,"🌿 Axé | psicologia | @Corinthians

ela/dela",in ur mind,7385,7446,60643,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
253,mieczyslawax,falo de amor mas nem eu me amo assim ela/dela,daegu alfea,1649,1128,29291,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
254,Luaemgemeos_,"~ 💍Casada com a minha Delícia @oscar_ichigo
~ 🎮Gamer, jogo Ragnarok Eternal Love, Guilda SkyGuard lvl10 Líder Xablax. 
~🤡 Ela/Dela (Oscarsexual)",Belém - Pará,1628,2226,82558,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
255,outranina,"lésbica, vegana, designer, viciada em desenho animado e sitcom meia boca

tentando ser artista ou sl
@outra.nina.arte no insta curte meus post pufavô é gratis","São Paulo, Brasil",368,234,41508,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
256,John_J0nes__,@SCInternacional • {reservado pra ela},São Leopoldo - RS,346,241,14700,0,@monosketaok mono tem q botar #publi,['publi']
257,KiritozXD_,Player de Fortnite | 13y | F/A | otaku | player da @mekgg_ | https://t.co/VaaqX3SOHl,"Salvador, Brasil",227,206,1539,0,"@myrianzinhaa Skin desbloqueada:
Mek bolado e ciumento

*Adquira agora na loja de itens, com o code Myrian na loja! #Ad",['Ad']
258,h3llofri3nd,“Todos vivemos na paranóia um dos outros.”     –Mr. Robot,"Rio de Janeiro, Brasil",576,423,52702,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
259,luskamatheus,"Ator, atormentado e morto por dentro.
Sou chato e desinteressante","Campinas, Brasil",283,258,6574,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
260,cahunii_,"menina sorridente, que ri e odeia o presidente.
                     | ela • dela | she • her |",🏳️‍🌈⃤ • errejota,652,329,11884,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
261,SweetMilotic,"Era: rosa cringe 

                   %ᵕ‿‿ᵕ%",,116,43,3359,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
262,IronRd_,Fique por dentro de todas as novidades e programações da melhor rádio!! 🎙🎶,Brasil e Portugal,59,725,591,0,"Evento especial as 20h indie × indie Não vai ficar de fora né?? Dêem  :follow Juh e venham curtir com a gente!! Sintoniza na melhor!! 
#Rádioiron 
#ironhotel 
#Marketing https://t.co/OopZxTJCc1","['Rádioiron', 'ironhotel', 'Marketing']"
263,julinhanog_b,"esse perfil so tem sofrimento, lamentação e as vezes putaria",,182,137,6158,138,"posso dizer q sou a fanzonca da MARVEL MAIS contente, fui respondida pelos atores da série!!! 😍 essa é a dupla q eu disse q me apaixonei!! agora vou mandar mensagem aqui pros meus migos pedindo spoiler de #FalcãoEOSoldadoInvernal. estreia AMANHÃ no @DisneyPlusBR 
#publi https://t.co/oMn9FejqI5",[]
264,artrogy,Nunca posso me esquecer de onde vim.,,465,28,2954,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
265,renejb7,Ocean is life.,"Ananindeua, Brasil",437,58,4886,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
266,lexPoc1,They say speed it up and I just go slow,"São Luís, Brazil",545,417,58196,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
267,LauraTavares22,,"Distrito Federal, Brasil",468,165,24197,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
268,IaraTamires7,Campinas- so,,19,1,29,60,Faça parte da embaixada e saiba de tudo sobre a cerveja que a @bohemiaoficial criou inspirada em mim. Tem visto oficial com minha assinatura digital e vídeos exclusivos sobre o malte whisky. Foi sold out apenas durante a live! https://t.co/AqmuR9sxyT #AprecieComModeração #publi https://t.co/iztuW1AmsO,[]
269,TaxarR,"se não houver união, vamos perder de novo em 2022",,934,403,30805,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
270,uranusring,'𝐜𝐚𝐮𝐬𝐞 𝐞𝐯𝐞𝐫𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐭𝐡𝐢𝐧𝐠 𝐢𝐬 𝐠𝐨𝐧𝐧𝐚 𝐛𝐞 𝐚𝐥𝐫𝐢𝐠𝐡𝐭 🦋🤞,she/they,1264,843,11160,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
271,brunolitcanov,"Crio conteúdo no Instagram & YouTube, sou escritor do meu próprio Blog, e comento o BBB21 | 📩bruno@brunolitcanov.com",Brasil,329,116,11053,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
272,marqsluc,"25 anos, viado, leitor, cachaceiro e de esquerda.",Valinhos - SP,1208,1418,19657,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
